Cont Pot (V) at Lt Cont,Opt Pwr (mW) at Lt Mir,Opt Pwr (mW) at Rt Mir,Cont J Total (A/cm2) at Lt Cont,Cont J Total (A/cm2) at Rt Cont,Cont Built Pot (V) at Lt Cont,Cont Built Pot (V) at Rt Cont
5.3500e+00,5.0690e+00,3.0383e+00,3.3587e+04,3.3587e+04,-3.6749e-16,1.5532e+00
5.4000e+00,5.1824e+00,3.1064e+00,3.3980e+04,3.3980e+04,-3.6749e-16,1.5532e+00
5.4500e+00,5.2963e+00,3.1746e+00,3.4373e+04,3.4373e+04,-3.6749e-16,1.5532e+00
5.5000e+00,5.4106e+00,3.2431e+00,3.4767e+04,3.4767e+04,-3.6749e-16,1.5532e+00
5.5500e+00,5.5252e+00,3.3118e+00,3.5162e+04,3.5162e+04,-3.6749e-16,1.5532e+00
5.6000e+00,5.6402e+00,3.3807e+00,3.5557e+04,3.5557e+04,-3.6749e-16,1.5532e+00
5.6500e+00,5.7555e+00,3.4498e+00,3.5954e+04,3.5953e+04,-3.6749e-16,1.5532e+00
5.7000e+00,5.8712e+00,3.5192e+00,3.6350e+04,3.6350e+04,-3.6749e-16,1.5532e+00
5.7500e+00,5.9873e+00,3.5888e+00,3.6748e+04,3.6748e+04,-3.6749e-16,1.5532e+00
5.8000e+00,6.1037e+00,3.6585e+00,3.7146e+04,3.7146e+04,-3.6749e-16,1.5532e+00
5.8500e+00,6.2204e+00,3.7285e+00,3.7545e+04,3.7545e+04,-3.6749e-16,1.5532e+00
5.9000e+00,6.3375e+00,3.7987e+00,3.7945e+04,3.7945e+04,-3.6749e-16,1.5532e+00
5.9500e+00,6.4550e+00,3.8691e+00,3.8346e+04,3.8346e+04,-3.6749e-16,1.5532e+00
6.0000e+00,6.5727e+00,3.9397e+00,3.8747e+04,3.8747e+04,-3.6749e-16,1.5532e+00
6.0500e+00,6.6909e+00,4.0105e+00,3.9149e+04,3.9149e+04,-3.6749e-16,1.5532e+00
6.1000e+00,6.8093e+00,4.0815e+00,3.9552e+04,3.9552e+04,-3.6749e-16,1.5532e+00
