Grid Pos (microns),Ec (eV),Efn (eV),Ev (eV),Efp (eV)
2.1467e-01,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
2.1568e-01,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
2.1668e-01,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
2.1768e-01,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
2.1869e-01,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
2.1969e-01,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
2.2070e-01,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
2.2170e-01,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
2.2270e-01,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
2.2371e-01,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
2.2471e-01,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
2.2572e-01,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
2.2672e-01,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
2.2772e-01,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
2.2873e-01,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
2.2973e-01,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
2.3073e-01,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
2.3174e-01,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
2.3274e-01,-3.3814e+00,-5.5184e+00,-5.5494e+00,-5.5184e+00
2.3375e-01,-3.3815e+00,-5.5184e+00,-5.5495e+00,-5.5184e+00
2.3475e-01,-3.3815e+00,-5.5184e+00,-5.5495e+00,-5.5184e+00
2.3575e-01,-3.3815e+00,-5.5184e+00,-5.5495e+00,-5.5184e+00
2.3676e-01,-3.3815e+00,-5.5184e+00,-5.5495e+00,-5.5184e+00
