Grid Pos (microns),U Total (1/cm3s),U Stim (1/cm3s)
2.4128e-01,-2.7418e+24,-2.7582e+24
2.4228e-01,-2.2800e+24,-2.2920e+24
2.4329e-01,-1.9742e+24,-1.9820e+24
2.4430e-01,-1.9409e+24,-1.9452e+24
2.4529e-01,-7.7442e+23,-7.8070e+23
2.4628e-01,-6.4761e+23,-6.5791e+23
2.4728e-01,-5.9928e+23,-6.1871e+23
2.4827e-01,-5.9772e+23,-6.3737e+23
2.4926e-01,-6.2341e+23,-7.0585e+23
2.5025e-01,-7.7919e+23,-8.2041e+23
2.5125e-01,-9.0267e+23,-9.7824e+23
2.5224e-01,-1.1611e+24,-1.1764e+24
2.5323e-01,-1.3955e+24,-1.4108e+24
2.5422e-01,-1.6535e+24,-1.6726e+24
2.5522e-01,-1.8221e+24,-1.9373e+24
2.5621e-01,2.7744e+23,-2.1197e+24
2.5720e-01,5.5288e+25,-1.8418e+24
2.5821e-01,5.4264e+25,-2.6164e+24
2.5922e-01,5.3602e+25,-3.1997e+24
2.6022e-01,5.3007e+25,-3.7253e+24
2.6123e-01,5.2414e+25,-4.2478e+24
2.6224e-01,5.1804e+25,-4.7874e+24
2.6325e-01,5.1170e+25,-5.3507e+24
2.6425e-01,5.0510e+25,-5.9393e+24
2.6526e-01,4.9826e+25,-6.5528e+24
2.6627e-01,4.9118e+25,-7.1899e+24
2.6728e-01,4.8389e+25,-7.8490e+24
2.6829e-01,4.7639e+25,-8.5283e+24
2.6929e-01,4.6871e+25,-9.2260e+24
2.7030e-01,4.6086e+25,-9.9401e+24
2.7131e-01,4.5287e+25,-1.0669e+25
2.7232e-01,4.4476e+25,-1.1410e+25
2.7333e-01,4.3655e+25,-1.2161e+25
2.7433e-01,4.2825e+25,-1.2921e+25
2.7534e-01,4.1990e+25,-1.3686e+25
2.7635e-01,4.1150e+25,-1.4456e+25
2.7736e-01,4.0309e+25,-1.5228e+25
2.7836e-01,3.9468e+25,-1.6000e+25
2.7937e-01,3.8629e+25,-1.6769e+25
2.8038e-01,3.7795e+25,-1.7533e+25
2.8139e-01,3.6968e+25,-1.8291e+25
2.8240e-01,3.6149e+25,-1.9041e+25
2.8340e-01,3.5342e+25,-1.9779e+25
2.8441e-01,3.4547e+25,-2.0505e+25
2.8542e-01,3.3768e+25,-2.1216e+25
2.8643e-01,3.3005e+25,-2.1909e+25
2.8744e-01,3.2262e+25,-2.2584e+25
2.8844e-01,3.1539e+25,-2.3239e+25
2.8945e-01,3.0839e+25,-2.3870e+25
2.9046e-01,3.0163e+25,-2.4478e+25
2.9147e-01,2.9513e+25,-2.5060e+25
2.9247e-01,2.8891e+25,-2.5614e+25
2.9348e-01,2.8298e+25,-2.6138e+25
2.9449e-01,2.7735e+25,-2.6633e+25
2.9550e-01,2.7205e+25,-2.7095e+25
2.9651e-01,2.6708e+25,-2.7524e+25
2.9751e-01,2.6246e+25,-2.7919e+25
2.9852e-01,2.5819e+25,-2.8277e+25
2.9953e-01,2.5430e+25,-2.8600e+25
3.0054e-01,2.5078e+25,-2.8884e+25
3.0155e-01,2.4766e+25,-2.9129e+25
3.0255e-01,2.4497e+25,-2.9330e+25
3.0356e-01,2.4282e+25,-2.9478e+25
3.0457e-01,2.4148e+25,-2.9545e+25
3.0558e-01,2.4180e+25,-2.9446e+25
3.0658e-01,2.4641e+25,-2.8920e+25
3.0759e-01,2.6334e+25,-2.7181e+25
3.0860e-01,3.1712e+25,-2.1960e+25
3.0959e-01,-2.7612e+25,-2.9716e+25
