Cont Pot (V) at Lt Cont,Opt Pwr (mW) at Lt Mir,Opt Pwr (mW) at Rt Mir,Cont J Total (A/cm2) at Lt Cont,Cont J Total (A/cm2) at Rt Cont,Cont Built Pot (V) at Lt Cont,Cont Built Pot (V) at Rt Cont
8.1000e+00,3.9125e-01,1.9513e-01,1.0616e+05,1.0616e+05,-3.6749e-16,1.5532e+00
8.2000e+00,3.9855e-01,1.9878e-01,1.0815e+05,1.0815e+05,-3.6749e-16,1.5532e+00
8.3000e+00,4.0589e-01,2.0244e-01,1.1015e+05,1.1015e+05,-3.6749e-16,1.5532e+00
8.4000e+00,4.1326e-01,2.0611e-01,1.1215e+05,1.1215e+05,-3.6749e-16,1.5532e+00
8.5000e+00,4.2067e-01,2.0981e-01,1.1417e+05,1.1417e+05,-3.6749e-16,1.5532e+00
8.6000e+00,4.2811e-01,2.1352e-01,1.1620e+05,1.1620e+05,-3.6749e-16,1.5532e+00
8.7000e+00,4.3558e-01,2.1724e-01,1.1823e+05,1.1823e+05,-3.6749e-16,1.5532e+00
8.8000e+00,4.4309e-01,2.2099e-01,1.2028e+05,1.2028e+05,-3.6749e-16,1.5532e+00
8.9000e+00,4.5063e-01,2.2475e-01,1.2234e+05,1.2234e+05,-3.6749e-16,1.5532e+00
9.0000e+00,4.5820e-01,2.2853e-01,1.2440e+05,1.2440e+05,-3.6749e-16,1.5532e+00
9.1000e+00,4.6581e-01,2.3232e-01,1.2648e+05,1.2648e+05,-3.6749e-16,1.5532e+00
9.2000e+00,4.7345e-01,2.3613e-01,1.2856e+05,1.2856e+05,-3.6749e-16,1.5532e+00
9.3000e+00,4.8113e-01,2.3996e-01,1.3066e+05,1.3066e+05,-3.6749e-16,1.5532e+00
9.4000e+00,4.8884e-01,2.4381e-01,1.3276e+05,1.3276e+05,-3.6749e-16,1.5532e+00
9.5000e+00,4.9659e-01,2.4767e-01,1.3488e+05,1.3488e+05,-3.6749e-16,1.5532e+00
9.6000e+00,5.0436e-01,2.5155e-01,1.3700e+05,1.3700e+05,-3.6749e-16,1.5532e+00
9.7000e+00,5.1217e-01,2.5544e-01,1.3914e+05,1.3914e+05,-3.6749e-16,1.5532e+00
9.8000e+00,5.2002e-01,2.5936e-01,1.4128e+05,1.4128e+05,-3.6749e-16,1.5532e+00
9.9000e+00,5.2790e-01,2.6329e-01,1.4344e+05,1.4344e+05,-3.6749e-16,1.5532e+00
1.0000e+01,5.3581e-01,2.6723e-01,1.4560e+05,1.4560e+05,-3.6749e-16,1.5532e+00
