Grid Pos (microns),Ec (eV),Efn (eV),Ev (eV),Efp (eV)
1.4144e-01,-5.7065e+00,-7.2276e+00,-7.2515e+00,-7.2276e+00
1.4245e-01,-5.7066e+00,-7.2276e+00,-7.2515e+00,-7.2276e+00
1.4345e-01,-5.7066e+00,-7.2276e+00,-7.2515e+00,-7.2276e+00
1.4445e-01,-5.7066e+00,-7.2276e+00,-7.2516e+00,-7.2276e+00
1.4546e-01,-5.7066e+00,-7.2276e+00,-7.2516e+00,-7.2276e+00
1.4646e-01,-5.7066e+00,-7.2276e+00,-7.2516e+00,-7.2276e+00
1.4747e-01,-5.7066e+00,-7.2276e+00,-7.2516e+00,-7.2276e+00
1.4847e-01,-5.7066e+00,-7.2276e+00,-7.2516e+00,-7.2276e+00
1.4947e-01,-5.7066e+00,-7.2276e+00,-7.2516e+00,-7.2276e+00
1.5048e-01,-5.7066e+00,-7.2276e+00,-7.2516e+00,-7.2276e+00
1.5148e-01,-5.7066e+00,-7.2276e+00,-7.2516e+00,-7.2276e+00
1.5248e-01,-5.7066e+00,-7.2276e+00,-7.2516e+00,-7.2276e+00
1.5349e-01,-5.7066e+00,-7.2276e+00,-7.2516e+00,-7.2276e+00
1.5449e-01,-5.7066e+00,-7.2276e+00,-7.2516e+00,-7.2276e+00
1.5550e-01,-5.7066e+00,-7.2276e+00,-7.2516e+00,-7.2276e+00
1.5650e-01,-5.7066e+00,-7.2276e+00,-7.2516e+00,-7.2276e+00
1.5750e-01,-5.7066e+00,-7.2276e+00,-7.2516e+00,-7.2276e+00
1.5851e-01,-5.7066e+00,-7.2276e+00,-7.2516e+00,-7.2276e+00
1.5951e-01,-5.7066e+00,-7.2276e+00,-7.2516e+00,-7.2276e+00
1.6052e-01,-5.7066e+00,-7.2276e+00,-7.2516e+00,-7.2276e+00
1.6152e-01,-5.7066e+00,-7.2276e+00,-7.2516e+00,-7.2276e+00
1.6252e-01,-5.7066e+00,-7.2276e+00,-7.2516e+00,-7.2276e+00
1.6353e-01,-5.7066e+00,-7.2276e+00,-7.2516e+00,-7.2276e+00
1.6453e-01,-5.7066e+00,-7.2276e+00,-7.2516e+00,-7.2276e+00
1.6553e-01,-5.7066e+00,-7.2276e+00,-7.2516e+00,-7.2276e+00
1.6654e-01,-5.7066e+00,-7.2276e+00,-7.2516e+00,-7.2276e+00
1.6754e-01,-5.7066e+00,-7.2276e+00,-7.2516e+00,-7.2276e+00
1.6855e-01,-5.7066e+00,-7.2276e+00,-7.2515e+00,-7.2276e+00
1.6955e-01,-5.7066e+00,-7.2276e+00,-7.2515e+00,-7.2276e+00
1.7055e-01,-5.7066e+00,-7.2276e+00,-7.2515e+00,-7.2276e+00
1.7156e-01,-5.7065e+00,-7.2276e+00,-7.2515e+00,-7.2276e+00
1.7256e-01,-5.7065e+00,-7.2276e+00,-7.2514e+00,-7.2276e+00
1.7357e-01,-5.7064e+00,-7.2276e+00,-7.2514e+00,-7.2276e+00
1.7457e-01,-5.7063e+00,-7.2276e+00,-7.2512e+00,-7.2276e+00
1.7557e-01,-5.7060e+00,-7.2276e+00,-7.2510e+00,-7.2276e+00
1.7658e-01,-5.7056e+00,-7.2276e+00,-7.2506e+00,-7.2276e+00
1.7758e-01,-5.7050e+00,-7.2276e+00,-7.2499e+00,-7.2276e+00
1.7858e-01,-5.7038e+00,-7.2276e+00,-7.2488e+00,-7.2276e+00
1.7959e-01,-5.7019e+00,-7.2276e+00,-7.2469e+00,-7.2276e+00
1.8059e-01,-5.6986e+00,-7.2276e+00,-7.2435e+00,-7.2276e+00
1.8160e-01,-5.6927e+00,-7.2276e+00,-7.2376e+00,-7.2276e+00
1.8260e-01,-5.6818e+00,-7.2276e+00,-7.2267e+00,-7.2276e+00
1.8360e-01,-5.6073e+00,-7.2276e+00,-7.2389e+00,-7.2275e+00
1.8460e-01,-5.5277e+00,-7.2276e+00,-7.2459e+00,-7.2275e+00
1.8560e-01,-5.4454e+00,-7.2276e+00,-7.2502e+00,-7.2275e+00
1.8660e-01,-5.3616e+00,-7.2276e+00,-7.2531e+00,-7.2275e+00
1.8760e-01,-5.2771e+00,-7.2276e+00,-7.2551e+00,-7.2275e+00
1.8860e-01,-5.2548e+00,-7.2464e+00,-7.2568e+00,-7.2275e+00
1.8960e-01,-5.2369e+00,-7.2464e+00,-7.2584e+00,-7.2274e+00
1.9060e-01,-5.2178e+00,-7.2464e+00,-7.2603e+00,-7.2274e+00
1.9160e-01,-5.1980e+00,-7.2464e+00,-7.2628e+00,-7.2274e+00
1.9260e-01,-5.1780e+00,-7.2464e+00,-7.2665e+00,-7.2273e+00
1.9360e-01,-5.1586e+00,-7.2464e+00,-7.2723e+00,-7.2273e+00
1.9460e-01,-5.1411e+00,-7.2464e+00,-7.2812e+00,-7.2273e+00
1.9560e-01,-5.1269e+00,-7.2464e+00,-7.2949e+00,-7.2272e+00
1.9660e-01,-5.1125e+00,-7.2464e+00,-7.2805e+00,-7.2272e+00
1.9761e-01,-5.1034e+00,-7.2463e+00,-7.2714e+00,-7.2272e+00
1.9861e-01,-5.0978e+00,-7.2463e+00,-7.2658e+00,-7.2272e+00
1.9962e-01,-5.0945e+00,-7.2463e+00,-7.2625e+00,-7.2272e+00
2.0062e-01,-5.0927e+00,-7.2463e+00,-7.2607e+00,-7.2272e+00
2.0162e-01,-5.0916e+00,-7.2463e+00,-7.2596e+00,-7.2272e+00
2.0263e-01,-5.0910e+00,-7.2463e+00,-7.2590e+00,-7.2272e+00
2.0363e-01,-5.0907e+00,-7.2463e+00,-7.2587e+00,-7.2272e+00
