Cont Pot (V) at Lt Cont,Opt Pwr (mW) at Lt Mir,Opt Pwr (mW) at Rt Mir,Cont J Total (A/cm2) at Lt Cont,Cont J Total (A/cm2) at Rt Cont,Cont Pot (V) at Lt Cont,Cont Pot (V) at Rt Cont
7.4000e-01,1.1942e-16,4.7730e-17,4.7504e-06,4.7504e-06,7.4000e-01,0.0000e+00
7.5000e-01,1.7579e-16,7.0264e-17,5.9173e-06,5.9173e-06,7.5000e-01,0.0000e+00
7.6000e-01,2.5878e-16,1.0344e-16,7.3761e-06,7.3761e-06,7.6000e-01,0.0000e+00
7.7000e-01,3.8096e-16,1.5227e-16,9.2012e-06,9.2012e-06,7.7000e-01,0.0000e+00
7.8000e-01,5.6081e-16,2.2416e-16,1.1487e-05,1.1487e-05,7.8000e-01,0.0000e+00
7.9000e-01,8.2557e-16,3.2998e-16,1.4351e-05,1.4351e-05,7.9000e-01,0.0000e+00
8.0000e-01,1.2153e-15,4.8577e-16,1.7943e-05,1.7943e-05,8.0000e-01,0.0000e+00
8.1000e-01,1.7891e-15,7.1510e-16,2.2452e-05,2.2452e-05,8.1000e-01,0.0000e+00
8.2000e-01,2.6338e-15,1.0527e-15,2.8117e-05,2.8117e-05,8.2000e-01,0.0000e+00
8.3000e-01,3.8772e-15,1.5497e-15,3.5242e-05,3.5242e-05,8.3000e-01,0.0000e+00
8.4000e-01,5.7076e-15,2.2813e-15,4.4209e-05,4.4209e-05,8.4000e-01,0.0000e+00
8.5000e-01,8.4023e-15,3.3584e-15,5.5505e-05,5.5505e-05,8.5000e-01,0.0000e+00
8.6000e-01,1.2369e-14,4.9439e-15,6.9748e-05,6.9748e-05,8.6000e-01,0.0000e+00
8.7000e-01,1.8209e-14,7.2780e-15,8.7722e-05,8.7722e-05,8.7000e-01,0.0000e+00
8.8000e-01,2.6805e-14,1.0714e-14,1.1042e-04,1.1042e-04,8.8000e-01,0.0000e+00
8.9000e-01,3.9461e-14,1.5772e-14,1.3912e-04,1.3912e-04,8.9000e-01,0.0000e+00
9.0000e-01,5.8090e-14,2.3219e-14,1.7544e-04,1.7544e-04,9.0000e-01,0.0000e+00
9.1000e-01,8.5516e-14,3.4181e-14,2.2142e-04,2.2142e-04,9.1000e-01,0.0000e+00
9.2000e-01,1.2589e-13,5.0318e-14,2.7970e-04,2.7970e-04,9.2000e-01,0.0000e+00
9.3000e-01,1.8532e-13,7.4074e-14,3.5362e-04,3.5362e-04,9.3000e-01,0.0000e+00
9.4000e-01,2.7282e-13,1.0905e-13,4.4744e-04,4.4744e-04,9.4000e-01,0.0000e+00
9.5000e-01,4.0162e-13,1.6053e-13,5.6662e-04,5.6662e-04,9.5000e-01,0.0000e+00
9.6000e-01,5.9124e-13,2.3632e-13,7.1809e-04,7.1809e-04,9.6000e-01,0.0000e+00
9.7000e-01,8.7038e-13,3.4789e-13,9.1074e-04,9.1074e-04,9.7000e-01,0.0000e+00
9.8000e-01,1.2813e-12,5.1214e-13,1.1559e-03,1.1559e-03,9.8000e-01,0.0000e+00
9.9000e-01,1.8862e-12,7.5393e-13,1.4680e-03,1.4680e-03,9.9000e-01,0.0000e+00
1.0000e+00,2.7768e-12,1.1099e-12,1.8655e-03,1.8655e-03,1.0000e+00,0.0000e+00
1.0100e+00,4.0878e-12,1.6339e-12,2.3719e-03,2.3719e-03,1.0100e+00,0.0000e+00
1.0200e+00,6.0178e-12,2.4053e-12,3.0172e-03,3.0172e-03,1.0200e+00,0.0000e+00
1.0300e+00,8.8590e-12,3.5409e-12,3.8397e-03,3.8397e-03,1.0300e+00,0.0000e+00
1.0400e+00,1.3042e-11,5.2127e-12,4.8880e-03,4.8880e-03,1.0400e+00,0.0000e+00
1.0500e+00,1.9199e-11,7.6739e-12,6.2242e-03,6.2242e-03,1.0500e+00,0.0000e+00
1.0600e+00,2.8264e-11,1.1297e-11,7.9270e-03,7.9271e-03,1.0600e+00,0.0000e+00
